time,x,y,vx,vy
0,1,1.902,10,19.02
0.1,2,3.706,10,18.04
0.2,3,5.412,10,17.06
0.3,4,7.02,10,16.08
0.4,5,8.53,10,15.1
0.5,6,9.942,10,14.12
0.6,7,11.256,10,13.14
0.7,8,12.472,10,12.16
0.8,9,13.59,10,11.18
0.9,10,14.61,10,10.2
1,11,15.532,10,9.22
1.1,12,16.356,10,8.24
1.2,13,17.082,10,7.26
1.3,14,17.71,10,6.28
1.4,15,18.24,10,5.3
1.5,16,18.672,10,4.32
1.6,17,19.006,10,3.34
1.7,18,19.242,10,2.36
1.8,19,19.38,10,1.38
1.9,20,19.42,10,0.399998
2,21,19.362,10,-0.580002
2.1,22,19.206,10,-1.56
2.2,23,18.952,10,-2.54
2.3,24,18.6,10,-3.52
2.4,25,18.15,10,-4.5
2.5,26,17.602,10,-5.48
2.6,27,16.956,10,-6.46
2.7,28,16.212,10,-7.44
2.8,29,15.37,10,-8.42
2.9,30,14.43,10,-9.4
3,31,13.392,10,-10.38
3.1,32,12.256,10,-11.36
3.2,33,11.022,10,-12.34
3.3,34,9.68999,10,-13.32
3.4,35,8.25999,10,-14.3
3.5,36,6.73199,10,-15.28
3.6,37,5.10599,10,-16.26
3.7,38,3.38199,10,-17.24
3.8,39,1.55999,10,-18.22
3.9,40,-0.360009,10,-19.2
4,41,-2.37801,10,-20.18
4.1,42,-4.49401,10,-21.16
4.2,43,-6.70801,10,-22.14
4.3,44,-9.02001,10,-23.12
4.4,45,-11.43,10,-24.1
4.5,46,-13.938,10,-25.08
4.6,47,-16.544,10,-26.06
4.7,48,-19.248,10,-27.04
4.8,49,-22.05,10,-28.02
4.9,50,-24.95,10,-29
5,51,-27.948,10,-29.98
5.1,52,-31.044,10,-30.96
5.2,53,-34.238,10,-31.94
5.3,54,-37.53,10,-32.92
5.4,55,-40.92,10,-33.9
5.5,56,-44.408,10,-34.88
5.6,57,-47.994,10,-35.86
5.7,58,-51.678,10,-36.84
5.8,59,-55.46,10,-37.82
5.9,60,-59.34,10,-38.8
6,61,-63.318,10,-39.78
6.1,62,-67.394,10,-40.76
6.2,63,-71.568,10,-41.74
6.3,64,-75.84,10,-42.72
6.4,65,-80.21,10,-43.7
6.5,66,-84.678,10,-44.68
6.6,67,-89.244,10,-45.66
6.7,68,-93.908,10,-46.64
6.8,69,-98.67,10,-47.62
6.9,70,-103.53,10,-48.6
7,71,-108.488,10,-49.58
7.1,72,-113.544,10,-50.56
7.2,73,-118.698,10,-51.54
7.3,74,-123.95,10,-52.52
7.4,75,-129.3,10,-53.5
7.5,76,-134.748,10,-54.48
7.6,77,-140.294,10,-55.46
7.7,78,-145.938,10,-56.44
7.79999,79,-151.68,10,-57.42
7.89999,80,-157.52,10,-58.4
7.99999,81,-163.458,10,-59.38
8.09999,82,-169.494,10,-60.36
8.2,83,-175.628,10,-61.34
8.3,84,-181.86,10,-62.32
8.4,85,-188.19,10,-63.3
8.5,86,-194.618,10,-64.28
8.6,87,-201.144,10,-65.26
8.7,88,-207.768,10,-66.24
8.8,89,-214.49,10,-67.22
8.9,90,-221.31,10,-68.2
9,91,-228.228,10,-69.18
9.1,92,-235.244,10,-70.16
9.2,93,-242.358,10,-71.14
9.3,94,-249.57,10,-72.12
9.4,95,-256.88,10,-73.1
9.5,96,-264.288,10,-74.08
9.6,97,-271.794,10,-75.06
9.7,98,-279.398,10,-76.04
9.8,99,-287.1,10,-77.02
9.9,100,-294.9,10,-78
